"","dictionary"
"1","exhibit"
"2","d"
"3","staff"
"4","report"
"5","january"
"6","by"
"7","william"
"8","j"
"9","driver"
"10","tax"
"11","reform"
"12","hearings"
"13","before"
"14","the"
"15","house"
"16","ways"
"17","and"
"18","mittee"
"19","are"
"20","likely"
"21","to"
"22","begin"
"23","early"
"24","in"
"25","the"
"26","next"
"27","session"
"28","as"
"29","long"
"30","ago"
"31","as"
"32","last"
"33","june"
"34","that"
"35","committees"
"36","chairman"
"37","mills"
"38","dark"
"39","indicated"
"40","the"
"41","issue"
"42","would"
"43","be"
"44","number"
"45","ority"
"46","means"
"47","com­"
"48","of"
"49","congress"
"50","wilbur"
"51","one"
"52","pri­"
"53","less"
"54","certain"
"55","is"
"56","the"
"57","nature"
"58","and"
"59","scope"
"60","of"
"61","such"
"62","hearings"
"63","while"
"64","various"
"65","members"
"66","of"
"67","congress"
"68","have"
"69","announced"
"70","that"
"71","they"
"72","will"
"73","sponsor"
"74","loopholeplugging"
"75","bills"
"76","mills"
"77","has"
"78","avoided"
"79","advocating"
"80","sweeping"
"81","reforms"
"82","the"
"83","administration"
"84","is"
"85","expected"
"86","to"
"87","introduce"
"88","its"
"89","tax"
"90","reform"
"91","proposal"
"92","early"
"93","in"
"94","order"
"95","to"
"96","take"
"97","the"
"98","initiative"
"99","comments"
"100","by"
"101","various"
"102","treasury"
"103","department"
"104","officials"
"105","indicate"
"106","the"
"107","administra­"
"108","tion"
"109","will"
"110","emphasize"
"111","tax"
"112","simplification"
"113","rather"
"114","than"
"115","substantive"
"116","reform"
"117","treasury"
"118","under"
"119","secretary"
"120","edwin"
"121","s"
"122","cohen"
"123","stated"
"124","recently"
"125","that"
"126","he"
"127","expected"
"128","congress"
"129","to"
"130","take"
"131","under"
"132","consideration"
"133","the"
"134","asset"
"135","depreciation"
"136","range"
"137","adr"
"138","system"
"139","the"
"140","investment"
"141","taut"
"142","credit"
"143","and"
"144","the"
"145","minimum"
"146","tax"
"147","on"
"148","tax"
"149","preference"
"150","income"
"151","it"
"152","is"
"153","also"
"154","expected"
"155","that"
"156","capital"
"157","gains"
"158","will"
"159","come"
"160","up"
"161","for"
"162","congressional"
"163","review"
"164","some"
"165","administration"
"166","officials"
"167","have"
"168","been"
"169","advocating"
"170","early"
"171","congressional"
"172","consideration"
"173","of"
"174","trade"
"175","reform"
"176","legislation"
"177","ahead"
"178","of"
"179","tax"
"180","legislation"
"181","both"
"182","of"
"183","which"
"184","are"
"185","handled"
"186","by"
"187","the"
"188","house"
"189","ways"
"190","and"
"191","means"
"192","committee"
"193","mr"
"194","mills"
"195","is"
"196","reported"
"197","to"
"198","have"
"199","indicated"
"200","that"
"201","he"
"202","would"
"203","put"
"204","trade"
"205","legislation"
"206","before"
"207","tax"
"208","reform"
"209","if"
"210","president"
"211","nixon"
"212","should"
"213","request"
"214","it"
"215","we"
"216","understand"
"217","however"
"218","that"
"219","the"
"220","president"
"221","has"
"222","not"
"223","yet"
"224","made"
"225","a"
"226","decision"
"227","on"
"228","either"
"229","the"
"230","nature"
"231","of"
"232","trade"
"233","legislation"
"234","to"
"235","be"
"236","proposed"
"237","by"
"238","the"
"239","administration"
"240","or"
"241","on"
"242","the"
"243","tactical"
"244","issue"
"245","of"
"246","when"
"247","to"
"248","present"
"249","it"
"250","trade"
"251","policy"
"252","in"
"253","the"
"254","new"
"255","nixon"
"256","administration"
"257","will"
"258","operate"
"259","under"
"260","new"
"261","leadership"
"262","the"
