"","dictionary"
"1","member"
"2","companies"
"3","will"
"4","furnish"
"5","to"
"6","a"
"7","central"
"8","state"
"9","cma"
"10","authority"
"11","macarial"
"12","safety"
"13","data"
"14","sheets"
"15","for"
"16","each"
"17","product"
"18","manufactured"
"19","in"
"20","the"
"21","state"
"22","in"
"23","addition"
"24","our"
"25","members"
"26","are"
"27","committed"
"28","to"
"29","furnishing"
"30","copies"
"31","of"
"32","msdss"
"33","to"
"34","individuals"
"35","such"
"36","as"
"37","transporters"
"38","upon"
"39","request"
"40","further"
"41","cmas"
"42","new"
"43","chemical"
"44","referral"
"45","center"
"46","will"
"47","enable"
"48","callers"
"49","to"
"50","obtain"
"51","chronic"
"52","health"
"53","information"
"54","from"
"55","the"
"56","manufacturer"
"57","of"
"58","the"
"59","product"
"60","in"
"61","question"
"62","with"
"63","respect"
"64","to"
"65","transportation"
"66","cna"
"67","believes"
"68","that"
"69","dot"
"70","should"
"71","mandate"
"72","that"
"73","emergency"
"74","response"
"75","guidebooks"
"76","be"
"77","kept"
"78","at"
"79","terminals"
"80","to"
"81","inform"
"82","employees"
"83","about"
"84","the"
"85","acute"
"86","health"
"87","hazards"
"88","associated"
"89","with"
"90","the"
"91","chemicals"
"92","they"
"93","are"
"94","handling"
"95","in"
"96","the"
"97","unlikely"
"98","event"
"99","that"
"100","an"
"101","employee"
"102","is"
"103","exposed"
"104","to"
"105","a"
"106","chemical"
"107","that"
"108","is"
"109","being"
"110","transported"
"111","contact"
"112","with"
"113","the"
"114","appropriate"
"115","shipper"
"116","or"
"117","cma"
"118","chemical"
"119","referral"
"120","center"
"121","will"
"122","produce"
"123","the"
"124","necessary"
"125","chronic"
"126","health"
"127","hazard"
"128","information"
"129","cma"
"130","also"
"131","would"
"132","not"
"133","object"
"134","to"
"135","the"
"136","guidebook"
"137","being"
"138","carried"
"139","in"
"140","each"
"141","truck"
"142","cab"
"143","and"
"144","rail"
"145","engine"
"146","exposure"
"147","to"
"148","hazardous"
"149","materials"
"150","intransit"
"151","is"
"152","rare"
"153","however"
"154","if"
"155","a"
"156","leak"
"157","should"
"158","occur"
"159","acute"
"160","health"
"161","hazard"
"162","information"
"163","is"
"164","essential"
"165","cma"
"166","exhibit"
"167","k"
"168","distribution"
"169","committee"
"170","oral"
"171","report"
"172","christman"
"173","the"
"174","distribution"
"175","committee"
"176","december"
"177","in"
"178","has"
"179","india"
"180","have"
"181","the"
"182","led"
"183","to"
"184","a"
"185","chairman"
"186","had"
"187","an"
"188","exceptionally"
"189","busy"
"190","during"
"191","as"
"192","with"
"193","the"
"194","events"
"195","which"
"196","took"
"197","place"
"198","increase"
"199","our"
