"","dictionary"
"1","exhibit"
"2","f"
"3","report"
"4","by"
"5","the"
"6","director"
"7","of"
"8","government"
"9","relations"
"10","william"
"11","m"
"12","stover"
"13","september"
"14","congress"
"15","nears"
"16","adjournment"
"17","amid"
"18","growing"
"19","election"
"20","fever"
"21","leaders"
"22","of"
"23","both"
"24","the"
"25","house"
"26","and"
"27","senate"
"28","continue"
"29","to"
"30","aim"
"31","for"
"32","october"
"33","adjournment"
"34","of"
"35","the"
"36","th"
"37","congress"
"38","despite"
"39","the"
"40","fact"
"41","that"
"42","both"
"43","houses"
"44","appear"
"45","on"
"46","schedule"
"47","some"
"48","observers"
"49","are"
"50","skeptical"
"51","since"
"52","congress"
"53","rately"
"54","meets"
"55","deadlines"
"56","for"
"57","ending"
"58","its"
"59","work"
"60","not"
"61","only"
"62","are"
"63","the"
"64","remaining"
"65","days"
"66","few"
"67","in"
"68","number"
"69","but"
"70","thoughts"
"71","of"
"72","the"
"73","november"
"74","election"
"75","are"
"76","proving"
"77","increasingly"
"78","distracting"
"79","to"
"80","members"
"81","a"
"82","number"
"83","of"
"84","congressmen"
"85","have"
"86","already"
"87","gone"
"88","home"
"89","to"
"90","campaign"
"91","and"
"92","attendance"
"93","problems"
"94","could"
"95","cause"
"96","difficulty"
"97","for"
"98","party"
"99","leaders"
"100","in"
"101","these"
"102","closing"
"103","weeks"
"104","as"
"105","they"
"106","attempt"
"107","to"
"108","complete"
"109","remaining"
"110","legislation"
"111","the"
"112","final"
"113","days"
"114","before"
"115","adjournment"
"116","are"
"117","always"
"118","a"
"119","difficult"
"120","and"
"121","uncertain"
"122","period"
"123","for"
"124","congress"
"125","and"
"126","for"
"127","those"
"128","who"
"129","follow"
"130","its"
"131","activities"
"132","closely"
"133","time"
"134","pressures"
"135","and"
"136","distractions"
"137","lead"
"138","to"
"139","hasty"
"140","action"
"141","in"
"142","some"
"143","cases"
"144","and"
"145","the"
"146","legislative"
"147","process"
"148","becomes"
"149","all"
"150","the"
"151","more"
"152","unpredictable"
"153","nonetheless"
"154","it"
"155","is"
"156","possible"
"157","to"
"158","speak"
"159","with"
"160","assurance"
"161","on"
"162","the"
"163","fate"
"164","of"
"165","several"
"166","important"
"167","bills"
"168","which"
"169","have"
"170","received"
"171","our"
"172","attention"
"173","in"
"174","recent"
"175","months"
"176","the"
"177","patent"
"178","reform"
"179","bill"
"180","earlier"
"181","passed"
"182","in"
"183","objectionable"
"184","form"
"185","by"
"186","the"
"187","senate"
"188","will"
"189","die"
"190","in"
"191","the"
"192","house"
"193","judiciary"
"194","committee"
"195","oil"
"196","divestiture"
"197","legislation"
"198","never"
"199","really"
"200","got"
"201","off"
"202","the"
"203","ground"
"204","but"
"205","is"
"206","certain"
"207","to"
"208","prove"
"209","controversial"
"210","in"
"211","the"
"212","bill"
"213","providing"
"214","for"
"215","deregulation"
"216","of"
"217","natural"
"218","gas"
"219","is"
"220","stalled"
"221","cma"
"222","on"
"223","the"
"224","other"
"225","hand"
"226","passage"
"227","appears"
"228","likely"
"229","for"
"230","the"
"231","air"
"232","quality"
"233","act"
"234","amendments"
"235","and"
"236","for"
"237","a"
"238","toxic"
"239","substances"
"240","control"
"241","bill"
"242","the"
"243","parens"
"244","patriae"
"245","bill"
"246","is"
"247","still"
"248","alive"
"249","a"
"250","major"
"251","antitrust"
"252","reform"
"253","bill"
"254","continues"
"255","to"
"256","move"
"257","through"
"258","the"
"259","congress"
"260","the"
"261","senate"
"262","last"
"263","week"
"264","passed"
"265","a"
"266","very"
"267","tough"
"268","and"
"269","controversial"
"270","version"
"271","as"
"272","a"
"273","result"
"274","parliamentary"
"275","maneuvering"
"276","is"
"277","underway"
"278","as"
"279","opponents"
"280","seek"
"281","to"
"282","block"
"283","passage"
"284","by"
"285","the"
"286","house"
"287","the"
"288","major"
"289","provisions"
"290","of"
"291","the"
"292","legislation"
"293","are"
"294","expanded"
"295","investigative"
"296","authority"
"297","for"
"298","the"
"299","department"
"300","of"
"301","justice"
"302","and"
"303","the"
"304","federal"
"305","trade"
"306","commission"
"307","requirement"
"308","for"
"309","premerger"
"310","notification"
"311","of"
"312","justice"
"313","and"
"314","ftc"
"315","where"
"316","companies"
"317","fit"
"318","certain"
"319","trigger"
"320","guidelines"
"321","thus"
"322","giving"
"323","the"
"324","government"
"325","the"
"326","opportunity"
"327","to"
"328","block"
"329","intended"
"330","mergers"
"331","the"
"332","controversial"
"333","parens"
"334","patriae"
"335","section"
"336","allowing"
"337","state"
"338","attorneys"
"339","general"
"340","to"
"341","bring"
"342","trebledamages"
"343","classaction"
"344","suits"
"345","against"
"346","businesses"
