"","dictionary"
"1","recommendations"
"2","extend"
"3","authorization"
"4","of"
"5","spac"
"6","for"
"7","one"
"8","year"
"9","impact"
"10","money"
"11","there"
"12","will"
"13","be"
"14","no"
"15","dues"
"16","impact"
"17","company"
"18","personnel"
"19","one"
"20","representative"
"21","on"
"22","the"
"23","committee"
"24","from"
"25","each"
"26","of"
"27","companies"
"28","staff"
"29","personnel"
"30","action"
"31","required"
"32","one"
"33","staff"
"34","executive"
"35","co­"
"36","ordinating"
"37","the"
"38","work"
"39","of"
"40","the"
"41","committee"
"42","no"
"43","addi­"
"44","tional"
"45","staff"
"46","required"
"47","approval"
"48","of"
"49","recommendation"
"50","cma"
"51","cma"
"52","table"
"53","of"
"54","contents"
"55","special"
"56","programs"
"57","advisory"
"58","committee"
"59","report"
"60","to"
"61","the"
"62","cma"
"63","executive"
"64","committee"
"65","proposed"
"66","new"
"67","programs"
"68","specific"
"69","recommendations"
"70","to"
"71","panels"
"72","spacs"
"73","recommendations"
"74","to"
"75","the"
"76","executive"
"77","committee"
"78","attachment"
"79","i"
"80","biomedical"
"81","and"
"82","environmental"
"83","special"
"84","programs"
"85","an"
"86","overview"
"87","mission"
"88","division"
"89","summary"
"90","staff"
"91","organization"
"92","and"
"93","responsibilities"
"94","budget"
"95","goals"
"96","for"
"97","longrange"
"98","plan"
"99","major"
"100","accomplishments"
"101","summaries"
"102","of"
"103","programs"
"104","table"
"105","biomedical"
"106","and"
"107","environmental"
"108","programs"
"109","budget"
"110","summary"
"111","figure"
"112","biomedical"
"113","and"
"114","environmental"
"115","special"
"116","programs"
"117","division"
"118","organization"
"119","chart"
"120","appendix"
"121","a"
"122","special"
"123","programs"
"124","advisory"
"125","committee"
"126","spac"
"127","appendix"
"128","b"
"129","list"
"130","of"
"131","special"
"132","programs"
"133","appendix"
"134","cs"
"135","companies"
"136","participating"
"137","in"
"138","sp"
"139","cial"
"140","programs"
"141","cma"
"142","special"
"143","programs"
"144","advisory"
"145","committee"
"146","report"
"147","to"
"148","the"
"149","cma"
"150","executive"
"151","committee"
"152","since"
"153","its"
"154","first"
"155","nesting"
"156","in"
"157","january"
"158","the"
"159","special"
"160","programs"
"161","advisory"
"162","committee"
"163","spac"
"164","developed"
"165","guidelines"
"166","for"
"167","che"
"168","conduct"
"169","of"
"170","special"
"171","programs"
"172","reviewed"
"173","all"
"174","of"
"175","the"
"176","ongoing"
"177","special"
"178","programs"
"179","and"
"180","made"
"181","recommendations"
"182","on"
"183","all"
"184","proposed"
"185","new"
"186","programs"
"187","significant"
"188","recommendations"
"189","resulting"
"190","from"
"191","spacs"
"192","reviews"
"193","are"
"194","summarized"
"195","below"
"196","proposed"
"197","nev"
"198","programs"
"199","arsenic"
"200","spac"
"201","recommended"
"202","approval"
"203","of"
"204","a"
"205","new"
"206","program"
"207","on"
"208","arsenic"
"209","the"
"210","primary"
"211","objective"
"212","of"
"213","the"
"214","program"
"215","is"
"216","the"
"217","education"
"218","of"
"219","people"
"220","within"
"221","regulatory"
"222","agencies"
"223","through"
"224","a"
"225","jointly"
"226","sponsored"
"227","arsenic"
"228","symposium"
"229","with"
"230","the"
"231","national"
"232","bureau"
"233","of"
"234","standards"
"235","this"
"236","symposium"
"237","november"
