5_gram,freq
of the clean air act,15
the toxic substances control act,15
of the board of directors,14
presented the annual report of,14
the annual report of the,14
the health and safety committee,14
the house ways and means,13
meeting of the board of,12
house ways and means committee,11
impact on the chemical industry,11
as a result of the,10
biomedical and environmental special programs,10
motion duly made and seconded,10
on motion duly made and,10
toxic substances control act tsca,10
beginning june and ending may,9
free trade agreement with canada,9
litigation and related legal activities,9
occupational safety and health committee,9
the natural resources defense council,9
the senate environment and public,9
to the board of directors,9
a federal cause of action,8
development analytical and program activities,8
fiscal year beginning june and,8
natural resources defense council nrdc,8
policy development analytical and program,8
report to the board of,8
senate environment and public works,8
the house energy and commerce,8
the united states and canada,8
year beginning june and ending,8
federal water pollution control act,7
meeting was called to order,7
submitted comments to epa on,7
the board of directors of,7
the cma board of directors,7
the energy and commerce committee,7
the executive committee and board,7
the meeting was called to,7
the national conference of state,7
the new jersey chemical industry,7
the occupational safety and health,7
the safe drinking water act,7
any bilateral free trade agreement,6
both the house and senate,6
by the board of directors,6
by the director of government,6
chemical manufacturers association inc held,6
e hamilton hurst nalco chemical,6
environment and public works committee,6
hamilton hurst nalco chemical company,6
of the tax policy committee,6
resource conservation and recovery act,6
the natural gas policy act,6
agreement on tariffs and trade,5
annual report of the international,5
approved budget and funding for,5
as set forth in exhibit,5
bilateral free trade agreement with,5
budget and funding for the,5
called to order by chairman,5
checks drafts or other orders,5
cma and mca board of,5
committee on environment and public,5
drafts or other orders for,5
executive committee and board of,5
general agreement on tariffs and,5
glenn w white the dow,5
house energy and commerce committee,5
kenneth e davis rohm and,5
national conference of state legislatures,5
of director of government relations,5
of the health and safety,5
of the toxic substances control,5
office of management and budget,5
on environment and public works,5
or other orders for the,5
presented an overview of the,5
public risk analysis special committee,5
report by the director of,5
report is attached as exhibit,5
report of the distribution committee,5
report of the tax policy,5
testified on behalf of cma,5
the director of government relations,5
the european council of chemical,5
the federal energy regulatory commission,5
the federal water pollution control,5
the hazardous materials transportation act,5
the house public works and,5
the national association of farm,5
the office of management and,5
the office of technology assessment,5
the separately funded biomedical and,5
the trade and tariff act,5
trade agreement with canada should,5
trade and tariff act of,5
w white the dow chemical,5
was called to order by,5
white the dow chemical company,5
amendments to the clean air,4
an ad hoc group of,4
and approval of minutes of,4
and other members of the,4
and recommended for board action,4
annual report of the patent,4
annual report of the tax,4
approved and recommended for board,4
are due to epa by,4
as a result of these,4
asked cma to set up,4
association inc held at the,4
at the request of the,4
by the health and safety,4
by the natural resources defense,4
chamber of commerce and the,4
charles w van vlack corporate,4
chemical response and information center,4
cma and cma board of,4
cma and the american petroleum,4
comments to epa on the,4
community awareness and emergency response,4
council on wage and price,4
davis rohm and haas company,4
e davis rohm and haas,4
energy policy and conservation act,4
entry into the united states,4
european council of chemical manufacturers,4
federal energy regulatory commission ferc,4
feedstock and energy policies and,4
for the chemical industry in,4
frank w berryman chevron chemical,4
group submitted comments to epa,4
in advance of the meeting,4
in the event of a,4
interest to the chemical industry,4
manufacturers association inc held at,4
members of the house and,4
national association of farm broadcasters,4
new jersey chemical industry council,4
new round of multilateral trade,4
of the ad hoc committee,4
of the chemical industry in,4
of the clean water act,4
of the hazardous materials transportation,4
of the patent and trademark,4
of the us chemical industry,4
of the value of the,4
office of the us trade,4
on tariffs and trade gatt,4
on wage and price stability,4
one representative from each participating,4
process emission regulations task group,4
protection of intellectual property rights,4
recommended for board action the,4
report of director of government,4
report of the executive committee,4
report of the international trade,4
report of the patent and,4
report of the special programs,4
round of multilateral trade negotiations,4
section of the clean air,4
task group submitted comments to,4
the chemical manufacturers association inc,4
the clean air act and,4
the cma will continue to,4
the council on wage and,4
the energy policy and conservation,4
the environmental protection agency epa,4
the executive committee on the,4
the export of hazardous substances,4
the general agreement on tariffs,4
the house and senate conference,4
the rcra regulations task group,4
the senate energy and natural,4
the status and programs of,4
the tax policy committee has,4
the ways and means committee,4
there was discussion of the,4
to cma board of directors,4
to health and the environment,4
to the clean air act,4
under the auspices of the,4
will work with epa to,4
a bilateral free trade agreement,3
a free trade agreement with,3
a major impact on the,3
a new round of multilateral,3
above budget and funding does,3
accept spacs recommendation for approval,3
acceptance of new programs ensure,3
act the clean water act,3
additional data in order to,3
adequate and binding dispute settlement,3
advance notice of proposed rulemaking,3
air act the clean water,3
air products and chemicals inc,3
all chemicals and related products,3
alternate supplies of drinking water,3
american women in radio and,3
ample margin of safety test,3
analysis of cma member company,3
and injury to a domestic,3
and interest should be paid,3
and looking to the future,3
and mca board of directors,3
and the administration of justice,3
and the american petroleum institute,3
and then to the extent,3
annual report of the communications,3
annual report of the distribution,3
annual report of the health,3
annual report of the special,3
any free trade agreement with,3
approval of recommendation and resolution,3
approved budget for the separately,3
approved by the executive committee,3
are in the process of,3
as how temporary trade distortions,3
association of farm broadcasters convention,3
at am and tuesday at,3
be prepared and distributed following,3
between the united states and,3
board of directors of the,3
both the united states and,3
budget for the separately funded,3
by a vote of to,3
by the executive committee and,3
call to order and approval,3
chemical feedstock and energy policies,3
clean air act the clean,3
clean water act task group,3
cma concealed its discussion of,3
cma submitted written comments to,3
cma to set up a,3
cma will continue to work,3
cmas health and safety committee,3
comments are due to epa,3
committee and board of directors,3
committee on ways and means,3
concealed the existence of the,3
concepts for federal groundwater legislation,3
concern to the chemical industry,3
conducted in a manner consistent,3
conservation and recovery act rcra,3
continue to work with the,3
court of appeals for the,3
currency fluctuations and injury to,3
d griffith arco chemical company,3
days of the th congress,3
directors in advance of the,3
division convened an exploratory meeting,3
during the course of the,3
during the first half of,3
dutyfree entry into the united,3
economic cooperation and development oecd,3
energy and natural resources committee,3
entry of products will be,3
environment and public works on,3
environment and public works subcommittee,3
epidemiological study on vinyl chloride,3
exposure to hazardous waste sites,3
federal cause of action provision,3
fifth circuit court of appeals,3
fluctuations and injury to a,3
following his presentation there was,3
for a number of years,3
for dutyfree entry into the,3
for occupational safety and health,3
for the payment of money,3
fossil and synthetic fuels subcommittee,3
free trade negotiations with canada,3
hazardous waste site management plan,3
health and safety committee has,3
health and safety committee will,3
his presentation there was discussion,3
house committee on ways and,3
house interstate and foreign commerce,3
how temporary trade distortions caused,3
hugh r irvine exxon chemical,3
human health and the environment,3
important at the state level,3
in compared to percent in,3
in his state of the,3
in the energy and commerce,3
in the fourth quarter of,3
in the health and safety,3
in the house and senate,3
in the industrial property rights,3
in the last two years,3
in the united states and,3
in the united states the,3
industry at the state level,3
information in compared to percent,3
injury to a domestic industry,3
international association of fire chiefs,3
into the united states under,3
investment restrictions must be an,3
is attached as exhibit b,3
issues such as how temporary,3
james h senger monsanto company,3
july cma testified before the,3
manufacturers asked cma to set,3
margin of safety test of,3
members of the task group,3
monday at am and tuesday,3
national chemical response and information,3
national institute for occupational safety,3
next meeting of the board,3
november the tax policy committee,3
number of cma member companies,3
occupational disease notification and prevention,3
occupational safety and health administration,3
of an ad hoc group,3
of both the house and,3
of joint and several liability,3
of multilateral trade negotiations mtn,3
of products will be handled,3
of technical director g v,3
of the chemical industry trade,3
of the cma board of,3
of the federal water pollution,3
of the house and senate,3
of the house ways and,3
of the investment tax credit,3
of the special energy advisory,3
of the special programs policy,3
of the us trade representative,3
of title iii of the,3
on july cma testified before,3
on monday at am and,3
on the acceptance of new,3
on the export of hazardous,3
on the house side the,3
on the part of the,3
order and approval of minutes,3
orders for the payment of,3
other nontariff trade barriers such,3
other orders for the payment,3
panel will work with epa,3
patents and protection of technology,3
percent of the value of,3
play an important role in,3
presentation there was discussion of,3
presentation there was general discussion,3
public understanding of the chemical,3
published in the federal register,3
r irvine exxon chemical americas,3
