"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","0","0","0","0","exhibit","0","0","0","0","exhibit","TRUE"
"2","0","0","0","0","f","0","0","0","0","f","TRUE"
"3","0","0","0","0","william","0","0","0","0","william","TRUE"
"4","0","0","0","0","m","0","0","0","0","m","TRUE"
"5","exhibit","f","william","m","stdver","ndvembe","","awstt","left","stover","FALSE"
"6","f","william","m","stdver","ndvembe","","awstt","left","unfinished","november","FALSE"
"7","0","0","0","0","","0","0","0","0","","TRUE"
"8","m","stdver","ndvembe","","awstt","left","unfinished","business","the","awsttess","FALSE"
"9","0","0","0","0","left","0","0","0","0","left","TRUE"
"10","0","0","0","0","unfinished","0","0","0","0","unfinished","TRUE"
"11","0","0","0","0","business","0","0","0","0","business","TRUE"
"12","0","0","0","0","the","0","0","0","0","the","TRUE"
"13","0","0","0","0","secnd","0","0","0","0","second","TRUE"
"14","unfinished","business","the","secnd","sesslon","of","the","th","congress","session","FALSE"
"15","0","0","0","0","of","0","0","0","0","of","TRUE"
"16","0","0","0","0","the","0","0","0","0","the","TRUE"
"17","0","0","0","0","th","0","0","0","0","th","TRUE"
"18","0","0","0","0","congress","0","0","0","0","congress","TRUE"
"19","0","0","0","0","came","0","0","0","0","came","TRUE"
"20","0","0","0","0","to","0","0","0","0","to","TRUE"
"21","0","0","0","0","an","0","0","0","0","an","TRUE"
"22","0","0","0","0","end","0","0","0","0","end","TRUE"
"23","0","0","0","0","n","0","0","0","0","in","TRUE"
"24","0","0","0","0","the","0","0","0","0","the","TRUE"
"25","0","0","0","0","second","0","0","0","0","second","TRUE"
"26","0","0","0","0","hortest","0","0","0","0","shortest","TRUE"
"27","n","the","second","hortest","congresslonal","sesslon","since","of","the","congressional","FALSE"
"28","the","second","hortest","congresslonal","sesslon","since","of","the","more","session","FALSE"
"29","0","0","0","0","since","0","0","0","0","since","TRUE"
"30","0","0","0","0","of","0","0","0","0","of","TRUE"
"31","0","0","0","0","the","0","0","0","0","the","TRUE"
"32","0","0","0","0","more","0","0","0","0","more","TRUE"
"33","0","0","0","0","than","0","0","0","0","than","TRUE"
"34","0","0","0","0","flfteen","0","0","0","0","fifteen","TRUE"
"35","the","more","than","flfteen","mm","were","vetoed","and","four","bills","FALSE"
"36","0","0","0","0","were","0","0","0","0","were","TRUE"
"37","0","0","0","0","vetoed","0","0","0","0","vetoed","TRUE"
"38","0","0","0","0","and","0","0","0","0","and","TRUE"
"39","0","0","0","0","four","0","0","0","0","four","TRUE"
"40","0","0","0","0","vetoes","0","0","0","0","vetoes","TRUE"
"41","0","0","0","0","were","0","0","0","0","were","TRUE"
"42","0","0","0","0","overrldden","0","0","0","0","overridden","TRUE"
"43","four","vetoes","were","overrldden","durlng","the","secnd","sesslon","the","during","FALSE"
"44","0","0","0","0","the","0","0","0","0","the","TRUE"
