"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","0","0","0","0","programs","0","0","0","0","programs","TRUE"
"2","0","0","0","0","generlly","0","0","0","0","generally","TRUE"
"3","0","0","0","0","although","0","0","0","0","although","TRUE"
"4","0","0","0","0","reactlon","0","0","0","0","reaction","TRUE"
"5","0","0","0","0","m","0","0","0","0","to","TRUE"
"6","0","0","0","0","the","0","0","0","0","the","TRUE"
"7","0","0","0","0","report","0","0","0","0","report","TRUE"
"8","0","0","0","0","was","0","0","0","0","was","TRUE"
"9","0","0","0","0","favorable","0","0","0","0","favorable","TRUE"
"10","0","0","0","0","several","0","0","0","0","several","TRUE"
"11","0","0","0","0","of","0","0","0","0","of","TRUE"
"12","0","0","0","0","the","0","0","0","0","the","TRUE"
"13","favorable","several","of","the","assoclatlons","offlcers","and","dlrectors","requested","associations","FALSE"
"14","0","0","0","0","offlcers","0","0","0","0","officers","TRUE"
"15","0","0","0","0","and","0","0","0","0","and","TRUE"
"16","0","0","0","0","dlrectors","0","0","0","0","directors","TRUE"
"17","0","0","0","0","requested","0","0","0","0","requested","TRUE"
"18","0","0","0","0","that","0","0","0","0","that","TRUE"
"19","0","0","0","0","more","0","0","0","0","more","TRUE"
"20","dlrectors","requested","that","more","speclflc","equests","for","actlon","be","specific","FALSE"
"21","0","0","0","0","equests","0","0","0","0","requests","TRUE"
"22","0","0","0","0","for","0","0","0","0","for","TRUE"
"23","more","speclflc","equests","for","actlon","be","made","to","the","action","FALSE"
"24","0","0","0","0","be","0","0","0","0","be","TRUE"
"25","0","0","0","0","made","0","0","0","0","made","TRUE"
"26","0","0","0","0","to","0","0","0","0","to","TRUE"
"27","0","0","0","0","the","0","0","0","0","the","TRUE"
"28","0","0","0","0","board","0","0","0","0","board","TRUE"
"29","made","to","the","board","mm","respect","to","ndvdual","c","with","FALSE"
"30","0","0","0","0","respect","0","0","0","0","respect","TRUE"
"31","0","0","0","0","to","0","0","0","0","to","TRUE"
"32","board","mm","respect","to","ndvdual","c","programs","where","there","individual","FALSE"
"33","0","0","0","0","c","0","0","0","0","cic","TRUE"
"34","0","0","0","0","programs","0","0","0","0","programs","TRUE"
"35","0","0","0","0","where","0","0","0","0","where","TRUE"
"36","0","0","0","0","there","0","0","0","0","there","TRUE"
"37","0","0","0","0","are","0","0","0","0","are","TRUE"
"38","0","0","0","0","partlcular","0","0","0","0","particular","TRUE"
"39","0","0","0","0","problems","0","0","0","0","problems","TRUE"
"40","0","0","0","0","andor","0","0","0","0","andor","TRUE"
"41","0","0","0","0","needs","0","0","0","0","needs","TRUE"
"42","0","0","0","0","t","0","0","0","0","at","TRUE"
"43","0","0","0","0","the","0","0","0","0","the","TRUE"
"44","0","0","0","0","october","0","0","0","0","october","TRUE"
"45","0","0","0","0","annual","0","0","0","0","annual","TRUE"
"46","0","0","0","0","meetlng","0","0","0","0","meeting","TRUE"
"47","0","0","0","0","all","0","0","0","0","all","TRUE"
"48","0","0","0","0","of","0","0","0","0","of","TRUE"
"49","0","0","0","0","the","0","0","0","0","the","TRUE"
"50","0","0","0","0","state","0","0","0","0","state","TRUE"
"51","all","of","the","state","recommendatlon","the","leadershlp","of","the","recommendations","FALSE"
"52","0","0","0","0","the","0","0","0","0","the","TRUE"
"53","0","0","0","0","leadershlp","0","0","0","0","leadership","TRUE"
"54","0","0","0","0","of","0","0","0","0","of","TRUE"
"55","0","0","0","0","the","0","0","0","0","the","TRUE"
"56","the","leadershlp","of","the","cmm","actlng","pursuant","to","the","cicnj","FALSE"
"57","leadershlp","of","the","cmm","actlng","pursuant","to","the","opportunlty","acting","FALSE"
"58","0","0","0","0","pursuant","0","0","0","0","pursuant","TRUE"
"59","0","0","0","0","to","0","0","0","0","to","TRUE"
"60","0","0","0","0","the","0","0","0","0","the","TRUE"
"61","actlng","pursuant","to","the","opportunlty","made","avaliable","as","a","opportunity","FALSE"
"62","0","0","0","0","made","0","0","0","0","made","TRUE"
"63","0","0","0","0","avaliable","0","0","0","0","available","TRUE"
"64","0","0","0","0","as","0","0","0","0","as","TRUE"
"65","0","0","0","0","a","0","0","0","0","a","TRUE"
"66","0","0","0","0","result","0","0","0","0","result","TRUE"
"67","0","0","0","0","of","0","0","0","0","of","TRUE"
"68","0","0","0","0","the","0","0","0","0","the","TRUE"
"69","0","0","0","0","september","0","0","0","0","september","TRUE"
"70","0","0","0","0","am","0","0","0","0","cma","TRUE"
"71","0","0","0","0","board","0","0","0","0","board","TRUE"
"72","0","0","0","0","meetlng","0","0","0","0","meeting","TRUE"
"73","0","0","0","0","suggests","0","0","0","0","suggests","TRUE"
"74","0","0","0","0","that","0","0","0","0","that","TRUE"
"75","0","0","0","0","the","0","0","0","0","the","TRUE"
"76","0","0","0","0","followlng","0","0","0","0","following","TRUE"
"77","suggests","that","the","followlng","ctlons","be","taken","by","ndvdual","actions","FALSE"
"78","0","0","0","0","be","0","0","0","0","be","TRUE"
"79","0","0","0","0","taken","0","0","0","0","taken","TRUE"
"80","0","0","0","0","by","0","0","0","0","by","TRUE"
"81","ctlons","be","taken","by","ndvdual","companles","at","the","dlrectlon","individual","FALSE"
"82","0","0","0","0","companles","0","0","0","0","companies","TRUE"
"83","0","0","0","0","at","0","0","0","0","at","TRUE"
"84","0","0","0","0","the","0","0","0","0","the","TRUE"
"85","0","0","0","0","dlrectlon","0","0","0","0","direction","TRUE"
"86","0","0","0","0","of","0","0","0","0","of","TRUE"
"87","0","0","0","0","members","0","0","0","0","members","TRUE"
"88","0","0","0","0","of","0","0","0","0","of","TRUE"
"89","dlrectlon","of","members","of","he","am","board","that","posltlve","the","FALSE"
"90","0","0","0","0","am","0","0","0","0","cma","TRUE"
"91","0","0","0","0","board","0","0","0","0","board","TRUE"
