word,freq
the,14367
and,6905
for,2606
cma,2188
that,1642
with,1611
will,1349
committee,1211
this,1098
are,1072
chemical,1029
has,1021
industry,972
have,861
was,761
program,695
from,685
which,678
been,621
trade,607
new,596
would,578
state,574
issues,567
our,536
tax,526
not,524
group,502
these,498
epa,460
report,457
other,454
were,433
companies,425
year,424
legislation,406
public,404
hazardous,400
health,386
proposed,384
task,380
house,373
programs,367
policy,362
company,359
also,355
their,353
act,352
should,351
activities,346
all,341
board,338
safety,334
under,332
senate,327
bill,326
member,326
more,324
air,323
government,314
energy,313
members,311
congress,309
may,308
national,305
waste,302
federal,300
states,300
such,291
information,290
meeting,289
chairman,285
regulations,283
support,283
staff,279
association,278
environmental,278
international,277
regulatory,274
mca,273
superfund,265
legislative,262
panel,261
response,248
special,247
issue,246
action,242
use,242
study,237
work,237
major,236
two,236
chemicals,235
executive,235
some,230
one,228
control,226
during,226
groundwater,218
communications,214
they,212
there,211
any,209
data,207
groups,207
over,207
cmas,206
transportation,202
water,202
but,201
committees,201
section,201
standards,201
position,198
comments,197
through,197
review,193
about,191
research,191
made,190
years,190
first,189
relations,188
impact,187
management,187
than,187
testing,186
exhibit,185
materials,185
efforts,184
president,183
last,182
process,182
several,182
time,182
proposal,181
can,179
could,178
those,174
congressional,171
both,170
continue,170
effort,170
law,169
being,168
before,167
many,167
technical,165
january,164
agreement,161
most,161
representatives,160
system,160
compensation,158
had,158
provisions,158
clean,156
cost,156
development,156
gas,156
general,156
include,155
amendments,154
budget,154
only,154
must,153
provide,153
reform,153
you,153
develop,152
into,152
additional,151
approved,151
tsca,151
administration,150
foreign,150
council,148
emergency,148
activity,146
substances,146
areas,145
held,144
including,144
tha,142
directors,140
hearings,140
now,140
addition,139
local,139
october,138
osha,138
changes,137
epas,137
final,137
key,137
following,136
three,136
however,135
need,135
natural,134
requirements,134
subcommittee,134
proposals,133
existing,132
significant,132
advisory,131
rule,131
business,130
department,130
his,130
out,130
products,130
when,130
risk,129
annual,128
number,128
standard,128
advocacy,127
each,126
meetings,126
submitted,126
appropriate,125
level,124
november,124
patent,124
united,124
between,123
protection,123
well,123
current,122
who,122
economic,121
next,121
rules,120
agency,118
area,118
since,118
test,118
working,118
commerce,117
presented,117
quality,117
associations,116
disposal,116
early,115
toxic,115
developed,114
future,114
specific,114
studies,113
plans,112
september,112
make,111
manufacturers,111
office,111
resources,111
funding,110
further,110
reported,110
investment,109
present,109
interest,108
liability,108
total,108
within,108
american,107
december,107
its,107
because,106
conference,106
related,106
where,106
part,104
problems,104
set,104
analysis,103
corporation,103
environment,103
increase,103
plan,103
various,103
concern,102
media,102
possible,102
prepared,102
product,102
distribution,101
occupational,101
order,100
used,100
survey,99
address,98
developing,98
june,98
page,98
while,98
bills,97
caer,97
recommendations,97
developments,96
draft,96
included,96
negotiations,96
results,96
basis,95
important,95
industrial,95
passed,95
concerns,94
result,94
toxics,94
after,93
effects,93
industrys,93
percent,93
assessment,92
consideration,92
individual,92
membership,92
procedures,92
them,92
what,92
amendment,91
exposure,91
affairs,90
canada,90
increased,90
regulation,90
senator,90
court,89
four,89
recommended,89
required,89
available,88
chloride,88
community,88
positions,88
recently,88
considered,87
how,87
means,87
million,87
approval,86
discussion,86
inc,86
provided,86
against,85
august,85
high,85
legal,85
organizations,85
reporting,85
washington,85
require,84
conducted,83
emissions,83
implementation,83
past,83
approach,82
free,82
although,81
among,81
authority,81
commission,81
establish,81
litigation,81
rcra,81
subject,81
another,80
effective,80
finance,79
introduced,79
labor,79
potential,79
active,78
certain,78
corporate,78
insurance,77
laws,77
needs,77
objectives,77
agencies,76
attention,76
disease,76
fund,76
jersey,76
based,75
continues,75
good,75
necessary,75
per,75
recent,75
representative,75
billion,74
reauthorization,74
secretary,74
very,74
continued,73
matters,73
priority,73
take,73
without,73
your,73
benefits,72
costs,72
director,72
meet,72
participation,72
role,72
upon,72
change,71
day,71
does,71
form,71
institute,71
met,71
much,71
personnel,71
taxes,71
already,70
better,70
guidelines,70
indicated,70
industries,69
months,69
people,69
robert,69
scheduled,69
actions,68
discussions,68
ethylene,68
joint,68
needed,68
status,68
countries,67
involved,67
july,67
regarding,67
then,67
expected,66
revenue,66
decision,65
end,65
received,65
reports,65
second,65
completed,64
comprehensive,64
few,64
training,64
until,64
coalition,63
credit,63
market,63
opportunity,63
petroleum,63
sources,63
statement,63
adopted,62
concerning,62
conservation,62
five,62
plant,62
requested,62
technology,62
tion,62
william,62
effect,61
emc,61
organization,61
participating,61
same,61
agreed,60
believe,60
distributed,60
document,60
operations,60
problem,60
request,60
session,60
similar,60
communication,59
even,59
expenses,59
manufacturing,59
sites,59
strong,59
ways,59
workers,59
direct,58
floor,58
john,58
likely,58
price,58
recommendation,58
sales,58
california,57
canadian,57
case,57
contacts,57
focus,57
full,57
given,57
income,57
levels,57
period,57
reduction,57
righttoknow,57
again,56
employees,56
february,56
hazard,56
production,56
reasonable,56
wastes,56
identified,55
leadership,55
reduce,55
texas,55
tort,55
works,55
counsel,54
date,54
hearing,54
importance,54
limited,54
place,54
substantial,54
tank,54
tariff,54
testimony,54
vinyl,54
whether,54
center,53
closely,53
com,53
export,53
force,53
improve,53
officials,53
oil,53
practices,53
site,53
solid,53
way,53
concealed,52
debate,52
discussed,52
iag,52
language,52
might,52
news,52
rather,52
source,52
systems,52
testified,52
april,51
che,51
congressman,51
criteria,51
determine,51
discuss,51
engineering,51
filed,51
hazards,51
phthalate,51
planning,51
policies,51
presidents,51
prior,51
rate,51
worked,51
consider,50
continuing,50
facilities,50
minutes,50
reviewed,50
spac,50
summary,50
cleanup,49
currently,49
division,49
fiscal,49
progress,49
property,49
rights,49
roland,49
science,49
services,49
treatment,49
voted,49
written,49
administrative,48
bilateral,48
chemtrec,48
established,48
esters,48
questions,48
resolution,48
car,47
chronic,47
emission,47
food,47
formed,47
includes,47
know,47
like,47
pollution,47
rates,47
scientific,47
toward,47
value,47
agenda,46
benzene,46
conduct,46
drinking,46
governments,46
oversight,46
producers,46
provision,46
safe,46
understanding,46
able,45
addressed,45
controls,45
domestic,45
education,45
gatt,45
help,45
labeling,45
monitoring,45
passage,45
permit,45
see,45
sent,45
supported,45
view,45
access,44
assistance,44
begin,44
broad,44
competition,44
did,44
disc,44
goals,44
hoc,44
interests,44
issued,44
material,44
opposition,44
oxide,44
particularly,44
presentation,44
published,44
resource,44
respect,44
vote,44
become,43
con,43
consensus,43
due,43
expect,43
import,43
imports,43
interested,43
interstate,43
james,43
land,43
maintain,43
notification,43
panels,43
plants,43
principles,43
rail,43
recovery,43
right,43
strategy,43
term,43
union,43
worker,43
workplace,43
aspects,42
implement,42
medical,42
model,42
others,42
package,42
pro,42
regional,42
round,42
third,42
vice,42
voluntary,42
asked,41
base,41
complete,41
consumer,41
country,41
coverage,41
deal,41
example,41
expressed,41
just,41
long,41
month,41
outside,41
particular,41
press,41
priorities,41
private,41
responsible,41
service,41
taken,41
amount,40
capital,40
concerned,40
either,40
equipment,40
fact,40
favorable,40
financial,40
funds,40
generally,40
get,40
grassroots,40
ing,40
large,40
letter,40
march,40
providing,40
sponsored,40
yet,40
agreements,39
attached,39
best,39
contact,39
designed,39
employee,39
ensure,39
forum,39
initial,39
input,39
least,39
less,39
notice,39
participated,39
petrochemical,39
point,39
radio,39
requests,39
alternative,38
approximately,38
associated,38
crac,38
enacted,38
far,38
fees,38
ferc,38
great,38
matter,38
minimum,38
negotiated,38
pmn,38
primarily,38
primary,38
releases,38
revised,38
six,38
taxation,38
treasury,38
workshop,38
began,37
behalf,37
identify,37
iii,37
making,37
mtn,37
own,37
positive,37
successful,37
york,37
added,36
briefing,36
course,36
dow,36
evaluate,36
exports,36
feedstock,36
leaders,36
maximum,36
overall,36
performance,36
petition,36
preparing,36
reduced,36
thus,36
adoption,35
ago,35
concepts,35
days,35
dot,35
effectiveness,35
give,35
guidance,35
initiated,35
mcas,35
political,35
previous,35
reagan,35
restrictions,35
small,35
version,35
views,35
announced,34
background,34
consistent,34
critical,34
deficit,34
earlier,34
goal,34
having,34
little,34
offered,34
parties,34
pending,34
provides,34
record,34
seek,34
separate,34
achieve,33
adequate,33
andor,33
arsenic,33
authorized,33
beginning,33
cause,33
come,33
compliance,33
decisions,33
democrats,33
deregulation,33
different,33
implementing,33
initiatives,33
internal,33
involving,33
majority,33
mechanism,33
nations,33
obtain,33
officers,33
overview,33
phase,33
requires,33
respond,33
rulemaking,33
settlement,33
supporting,33
therefore,33
using,33
affect,32
affecting,32
begun,32
decided,32
detailed,32
evaluation,32
expanded,32
governmental,32
late,32
later,32
liaison,32
operating,32
patents,32
prices,32
probably,32
railroads,32
revisions,32
risks,32
senior,32
success,32
alternatives,31
amended,31
appears,31
brought,31
called,31
calls,31
cases,31
chat,31
dues,31
election,31
elements,31
extensive,31
fda,31
informed,31
monsanto,31
ongoing,31
organic,31
prepare,31
project,31
projects,31
regard,31
series,31
serious,31
setting,31
shall,31
times,31
world,31
additives,30
administrator,30
allocation,30
carter,30
charles,30
compromise,30
done,30
encourage,30
especially,30
european,30
every,30
extent,30
human,30
increasing,30
legislators,30
limitations,30
measures,30
ment,30
money,30
objective,30
opposed,30
permits,30
phosgene,30
put,30
question,30
republicans,30
revenues,30
signed,30
allied,29
attended,29
became,29
bring,29
call,29
competitive,29
corporations,29
create,29
eac,29
electrical,29
equal,29
fall,29
fluorocarbons,29
followed,29
formation,29
glycol,29
handling,29
hydrocarbon,29
lead,29
network,29
ohio,29
once,29
paid,29
participate,29
procedure,29
release,29
schedule,29
significantly,29
stover,29
tions,29
took,29
top,29
toxicity,29
trademark,29
acid,28
administrations,28
assure,28
basic,28
brief,28
charter,28
chemnet,28
close,28
commercial,28
conditions,28
documents,28
effectively,28
employment,28
enforcement,28
experts,28
fee,28
finally,28
greater,28
improvement,28
independent,28
interim,28
itc,28
nature,28
negotiating,28
old,28
organized,28
packaging,28
pay,28
personal,28
purpose,28
raised,28
reach,28
receive,28
selected,28
substantially,28
title,28
today,28
together,28
toxicology,28
tuesday,28
actual,27
cooperation,27
coordination,27
differences,27
dingell,27
directed,27
down,27
etc,27
focused,27
involvement,27
items,27
managers,27
none,27
open,27
operation,27
original,27
practice,27
preliminary,27
preparation,27
prevention,27
proper,27
protect,27
purposes,27
responsibility,27
scope,27
sector,27
security,27
seminar,27
shipments,27
terms,27
topic,27
urged,27
ability,26
above,26
agencys,26
believes,26
carry,26
chairmen,26
challenge,26
code,26
commitment,26
concept,26
copies,26
cover,26
covered,26
dealing,26
decontrol,26
estimated,26
fully,26
hold,26
numerous,26
ozone,26
papers,26
power,26
previously,26
publication,26
reflect,26
relating,26
represent,26
responses,26
return,26
suggested,26
underground,26
white,26
cancer,25
cannot,25
cics,25
coalitions,25
coming,25
conclusion,25
coordinating,25
councils,25
directly,25
eliminate,25
employers,25
establishing,25
establishment,25
expand,25
exposed,25
florio,25
higher,25
icc,25
individuals,25
ketones,25
mandatory,25
measure,25
minimization,25
presently,25
pricing,25
produced,25
publics,25
recommend,25
relationship,25
revision,25
say,25
seeking,25
senators,25
serve,25
single,25
soon,25
specifically,25
supply,25
trada,25
underway,25
whose,25
acceptable,24
actively,24
addressing,24
advance,24
adverse,24
anticipated,24
benefit,24
carriers,24
cic,24
considerable,24
construction,24
created,24
despite,24
ethers,24
expansion,24
forth,24
found,24
impose,24
incident,24
judiciary,24
leader,24
lobbying,24
look,24
markup,24
message,24
oecd,24
options,24
outlook,24
paper,24
prevent,24
professional,24
promote,24
referral,24
reviewing,24
stated,24
strongly,24
techniques,24
adequacy,23
allow,23
amend,23
ansi,23
back,23
beyond,23
comment,23
common,23
congressmen,23
contained,23
contract,23
drug,23
educational,23
experience,23
fuel,23
hope,23
intellectual,23
interviews,23
legislature,23
limit,23
low,23
mittee,23
nearly,23
negative,23
off,23
perception,23
pollutants,23
range,23
relevant,23
remain,23
remaining,23
represented,23
resolve,23
resulted,23
resulting,23
sessions,23
sound,23
spring,23
sufficient,23
supports,23
surveys,23
target,23
though,23
workshops,23
acceptance,22
accidental,22
age,22
allowed,22
attempt,22
barriers,22
biomedical,22
burden,22
courts,22
dnj,22
elimination,22
extension,22
funded,22
here,22
improved,22
incidents,22
influence,22
intent,22
jurisdiction,22
known,22
line,22
list,22
markets,22
mechanisms,22
methods,22
multilateral,22
opinion,22
pennsylvania,22
plastics,22
points,22
produce,22
raise,22
reducing,22
remains,22
reorganization,22
show,22
situation,22
successfully,22
supplies,22
tariffs,22
television,22
visits,22
accomplishments,21
almost,21
appear,21
apply,21
avoid,21
awareness,21
baker,21
campaign,21
cargo,21
chemists,21
claims,21
contains,21
convention,21
defense,21
direction,21
districts,21
economy,21
eight,21
exchange,21
exxon,21
fernandez,21
highly,21
implemented,21
inspection,21
instead,21
itself,21
laboratory,21
minority,21
monday,21
monitor,21
near,21
nrdc,21
occurred,21
orders,21
party,21
processes,21
qualified,21
recognized,21
reforms,21
rep,21
rubber,21
said,21
sella,21
socma,21
statements,21
substantive,21
sure,21
synthetic,21
targeted,21
ten,21
too,21
unions,21
virginia,21
adopt,20
affected,20
around,20
balance,20
bureau,20
carbide,20
cercla,20
chlorobenzenes,20
clearly,20
conjunction,20
considering,20
contributions,20
coordinate,20
departments,20
described,20
design,20
dollars,20
drawn,20
duties,20
elected,20
emphasis,20
ending,20
evidence,20
executives,20
exist,20
extend,20
film,20
fire,20
follow,20
formal,20
granted,20
guide,20
injection,20
louisiana,20
massachusetts,20
mexico,20
motion,20
occur,20
opportunities,20
originally,20
oshas,20
payments,20
perhaps,20
pesticides,20
planned,20
relationships,20
responded,20
seven,20
structure,20
substance,20
throughout,20
unreasonable,20
users,20
accept,19
along,19
annually,19
appeals,19
application,19
article,19
asbestos,19
availability,19
aware,19
balanced,19
berryman,19
candidates,19
capabilities,19
capacity,19
caused,19
chemistry,19
clark,19
collection,19
communities,19
computer,19
concluded,19
contain,19
coordinated,19
democratic,19
earnings,19
entire,19
exemptions,19
exists,19
expenditures,19
factors,19
findings,19
flow,19
followup,19
forward,19
frank,19
half,19
identification,19
improvements,19
indicate,19
job,19
jobs,19
keep,19
laboratories,19
lower,19
maintenance,19
moved,19
portion,19
publications,19
rain,19
ranking,19
removal,19
requirement,19
resolved,19
responding,19
richard,19
sections,19
society,19
sought,19
spills,19
standing,19
stations,19
sub,19
summer,19
try,19
update,19
ves,19
victims,19
week,19
wide,19
accepted,18
adequately,18
advertising,18
ahead,18
analytical,18
ask,18
assess,18
build,18
building,18
carried,18
carrier,18
chaired,18
compared,18
contamination,18
contracts,18
damages,18
depreciation,18
dialogue,18
directive,18
effluent,18
foundation,18
gain,18
indicates,18
inter,18
japanese,18
lack,18
largely,18
legislatures,18
listing,18
maritime,18
marketing,18
move,18
name,18
plus,18
polychlorinated,18
pressure,18
processing,18
reached,18
reductions,18
register,18
relief,18
represents,18
republican,18
requiring,18
shippers,18
suit,18
things,18
tive,18
trading,18
treasurer,18
van,18
veto,18
west,18
achieved,17
adjourned,17
advocate,17
aid,17
assignments,17
calendar,17
carolina,17
challenging,17
chicago,17
codes,17
communicate,17
completion,17
conrail,17
costeffective,17
cut,17
delayed,17
delegation,17
details,17
determined,17
determining,17
difficult,17
dispute,17
district,17
edward,17
entry,17
environ,17
event,17
exemption,17
facility,17
florida,17
gary,17
generic,17
george,17
gross,17
growing,17
handled,17
highlights,17
holmer,17
home,17
identifying,17
initiative,17
injury,17
investigation,17
joined,17
leading,17
limits,17
manufacture,17
mda,17
ments,17
method,17
michigan,17
modify,17
motor,17
ncric,17
obtained,17
parts,17
pass,17
paul,17
persons,17
post,17
ppm,17
principal,17
railroad,17
records,17
regulate,17
relative,17
remedy,17
reproductive,17
responsibilities,17
restoration,17
seems,17
share,17
shipping,17
short,17
sponsor,17
submission,17
submit,17
supreme,17
thomas,17
treasurers,17
uniform,17
urging,17
uscanada,17
weeks,17
acrylonitrile,16
advised,16
aimed,16
amounts,16
appeal,16
biphenyls,16
book,16
butadiene,16
central,16
circuit,16
city,16
classification,16
commit,16
competitiveness,16
confidentiality,16
contractors,16
contribution,16
copy,16
cox,16
deadlines,16
detail,16
emergencies,16
enactment,16
encouraged,16
entitled,16
environmentalists,16
epidemiology,16
examples,16
excess,16
expertise,16
faced,16
feedstocks,16
feel,16
field,16
find,16
gave,16
growth,16
haas,16
handle,16
houston,16
impacts,16
inhalation,16
initially,16
initiate,16
introduction,16
longer,16
man,16
manpower,16
manual,16
mental,16
mentioned,16
net,16
offer,16
pipeline,16
possibility,16
propose,16
quarter,16
qwp,16
recess,16
regular,16
resins,16
rohm,16
shift,16
side,16
simeral,16
strategies,16
surface,16
tcc,16
type,16
types,16
utilization,16
valuable,16
voice,16
accomplish,15
accordingly,15
account,15
adjournment,15
advice,15
advisors,15
ambient,15
answer,15
antitrust,15
applicable,15
approaches,15
assigned,15
below,15
bhopal,15
bulk,15
causation,15
changed,15
charges,15
circumstances,15
civil,15
clear,15
club,15
conducting,15
confidential,15
connection,15
consumers,15
cresols,15
cuts,15
defeated,15
delay,15
demand,15
dioxide,15
docket,15
eastman,15
efficiency,15
employed,15
employer,15
engineers,15
essential,15
excellent,15
feasibility,15
freight,15
functional,15
going,15
grant,15
ground,15
highlighted,15
immediately,15
imposed,15
insure,15
inventory,15
invited,15
japan,15
life,15
light,15
loss,15
losses,15
manager,15
mollie,15
moving,15
mutagenicity,15
nine,15
north,15
obtaining,15
organizational,15
outcome,15
oxidant,15
participants,15
permanent,15
pollutant,15
pretreatment,15
rats,15
receiving,15
recommends,15
relatively,15
representing,15
savings,15
south,15
storage,15
subsequent,15
subsequently,15
substitute,15
titanium,15
topics,15
truck,15
trust,15
understand,15
undertake,15
unique,15
uses,15
ustr,15
variety,15
vinylidene,15
yes,15
zinc,15
allowance,14
animal,14
assistant,14
ban,14
carcinogen,14
chamber,14
citizen,14
closing,14
college,14
compounds,14
conferees,14
consent,14
constructive,14
consultant,14
consultants,14
contaminants,14
context,14
definition,14
degree,14
dehp,14
doing,14
drafts,14
emphasized,14
endorsed,14
epoxy,14
events,14
exception,14
existence,14
factor,14
failed,14
forms,14
formula,14
fourth,14
governor,14
herrman,14
incentives,14
increases,14
intended,14
judicial,14
