Correction,GroundTruth,ORC
harm,exhibit,xansm
u,d,u
ma,ma,ma
rahn,rch,rah
by,by,by
willlam,william,willlam
j,j,j
driver,driver,drlver
congressional,congressional,congressional
action,action,action
involving,involving,nvolvng
portlons,portions,portlons
of,of,of
t,the,t
foreign,foreign,orelgn
trade,trade,trade
and,and,and
investment,investment,investment
act,act,act
of,of,of
that,that,that
the,the,the
aflcio,aflcio,aflcid
planned,planned,planned
to,to,to
attempt,attempt,attempt
cma,attaching,cmng
titles,titles,tltles
v,vi,v
and,and,and
vii,vii,vii
of,of,of
that,that,that
proposed,proposed,proposed
act,act,act
to,to,to
the,the,the
administration,administrations,admlnlstratlons
d,gold,d
leglslatlon,legislation,leglslatlon
has,has,has
been,been,been
given,given,given
jurisdiction,jurisdiction,jurlsdlctlon
over,over,over
titles,titles,tltles
v,vi,v
and,and,and
vii,vii,vii
of,of,of
t,the,t
called,socalled,called
the,the,the
latter,latter,latter
commlttee,committee,commlttee
scheduled,scheduled,scheduled
gold,gold,gold
may,bill,mu
hearlngs,hearings,hearlngs
march,march,march
a,and,a
organized,organized,drganlzed
labors,labors,labors
posltlon,position,posltlon
m,to,m
be,be,be
presented,presented,presented
the,the,the
last,last,last
day,day,day
of,of,of
heari,hear,heari
remedles,remedies,remedles
and,and,and
that,that,that
the,the,the
stronger,stronger,stronger
measures,measures,measures
embodled,embodied,embodled
n,in,n
the,the,the
hartkeburke,hartkeburke,hartkeurke
cma,bill,mm
are,are,are
needed,needed,needed
tltle,title,tltle
vi,vi,vi
of,of,of
that,that,that
measure,measure,measure
would,would,would
empower,empower,empower
the,the,the
presldent,president,presldent
m,to,m
prohibit,prohibit,prohlblt
any,any,any
transactlons,transactions,transactlons
involving,involving,nvolvng
three,direct,threat
or,or,or
indirect,indirect,indirect
transfer,transfer,transfer
of,of,of
capltal,capital,capltal
m,to,m
or,or,or
within,within,within
any,any,any
forelgn,foreign,forelgn
country,country,country
when,when,when
n,in,n
any,any,any
holder,holder,holder
of,of,of
a,a,a
v,u,v
s,s,s
patent,patent,patent
from,from,from
manufacturing,manufacturing,manufacturlng
the,the,the
patented,patented,patented
product,product,product
using,using,usmg
the,the,the
patented,patented,patented
process,process,process
llcen,licens,llcen
ing,ing,mg
others,others,others
to,to,to
manufacture,manufacture,manufacture
the,the,the
patented,patented,patented
product,product,product
or,or,or
using,using,usmg
the,the,the
patented,patented,patented
process,process,process
outslde,outside,outslde
unlted,united,unlted
states,states,states
terrltory,territory,terrltory
when,when,when
n,in,n
the,the,the
presidents,presidents,presldents
judgment,judgment,judgment
such,such,such
prohibition,prohibition,prohibition
hill,will,hill
contribute,contribute,contrlbute
to,to,to
ncreased,increased,ncreased
employment,employment,employment
n,in,n
the,the,the
unlted,united,unlted
states,states,states
tltle,title,tltle
v,vii,v
would,would,would
requlre,require,requlre
onerous,onerous,onerous
reportlng,reporting,reportlng
provisions,provisions,provlslons
ncludng,including,ncludng
complete,complete,complete
statistics,statistics,statlstlcs
on,on,on
worklng,working,worklng
condltlons,conditions,condltlons
n,in,n
multlnatlonal,multinational,multlnatlonal
com,com,com
panles,panies,panles
outslde,outside,outslde
the,the,the
unlted,united,unlted
states,states,states
as,as,as
well,well,well
as,as,as
or,or,or
products,products,products
and,and,and
their,their,thelr
distribution,distribution,dlstrlbutlon
and,and,and
advertlslng,advertising,advertlslng
after,after,after
key,key,key
house,house,house
commlttee,committee,commlttee
members,members,members
were,were,were
alerted,alerted,alerted
to,to,to
organized,organized,organlzed
labors,labors,labors
strategy,strategy,strategy
assurances,assurances,assurances
were,were,were
obtalned,obtained,obtalned
that,that,that
the,the,the
gold,gold,gold
leglslatlon,legislation,leglslatlon
would,would,would
be,be,be
kept,kept,kept
free,free,free
of,of,of
encumberlng,encumbering,encumberlng
amendments,amendments,amendments
and,and,and
that,that,that
the,the,the
hartkeburke,hartkeburke,hartkeurke
measures,measures,measures
would,would,would
be,be,be
ruled,ruled,ruled
nonigemane,nongermane,nonigemane
on,on,on
march,march,march
the,the,the
senate,senate,senate
approved,approved,approved
the,the,the
gold,gold,gold
leglslatlon,legislation,leglslatlon
requested,required,requlred
by,by,by
the,the,the
presldent,president,presldent
to,to,to
unplement,implement,unplement
negotiated,negotiated,negotlated
nternatlonal,international,nternatlonal
monetary,monetary,monetary
agree,agree,agree
ments,ments,ments
cma,cma,cm
a,qa,a
 , , 
the,the,the
senate,senate,senate
suscommrm,subcommittee,suscommrm
on,on,on
the,the,the
environment,environment,environment
has,has,has
begun,begun,begun
executlve,executive,executlve
sesslon,session,sesslon
consideration,consideration,conslderatlon
of,of,of
pendlng,pending,pendlng
toxic,toxic,toxlc
substances,substances,substances
leglslatlon,legislation,leglslatlon
on,on,on
february,february,february
the,the,the
subcommlttee,subcommittee,subcommlttee
staff,staff,staff
made,made,made
public,public,publlc
worklng,working,worklng
draft,draft,draft
no,no,no
we,we,we
were,were,were
invited,invited,nvted
to,to,to
submlt,submit,submlt
for,for,for
con,con,con
sideration,sideration,slderatlon
a,a,a
memorandum,memorandum,memorandum
deallng,dealing,deallng
cma,with,mm
sectlon,section,sectlon
of,of,of
that,that,that
document,document,document
addltlonal,additional,addltlonal
changes,changes,changes
and,and,and
improvements,improvements,luvprovements
were,were,were
recommended,recommended,recommended
n,in,n
more,more,more
com,com,com
mlttee,mittee,mlttee
chairman,chairman,chalman
senator,senator,senator
willlam,william,willlam
b,b,b
spong,spong,spong
way,dva,mway
we,we,we
emphasized,emphasized,emphaslzed
our,our,our
concern,concern,concern
over,over,over
certaln,certain,certaln
provisions,provisions,provlslons
relatlve,relative,relatlve
m,to,m
premarket,premarket,premarket
testlng,testing,testlng
of,of,of
chemlcal,chemical,chemlcal
substances,substances,substances
and,and,and
polnted,pointed,polnted
out,out,out
other,other,other
needed,needed,needed
improvements,improvements,mprovements
the,the,the
house,house,house
public,public,public
works,works,wows
committee,committee,committee
staff,staff,staff
has,has,has
need,insisted,nted
for,for,for
some,some,some
time,time,time
that,that,that
the,the,the
language,language,language
of,of,of
the,the,the
pendlng,pending,pendlng
would,would,would
be,be,be
made,made,made
public,public,publlc
on,on,on
march,march,march
however,however,however
present,present,present
indications,indications,indications
are,are,are
consideration,consideration,conslderatlon
by,by,by
the,the,the
house,house,house
rules,rules,rules
commlttee,committee,commlttee
will,will,will
take,take,take
place,place,place
prior,prior,prior
to,to,to
house,house,house
floor,floor,floor
actlon,action,actlon
the,the,the
measure,measure,measure
could,could,could
reach,reach,reach
senateouse,senatehouse,senateouse
conference,conference,conference
before,before,before
easter,easter,easter
a,a,a
housesenate,housesenate,hdusesenate
conference,conference,conference
has,has,has
approved,approved,approved
leglslatlon,legislation,leglslatlon
that,that,that
would,would,would
requlre,require,requlre
the,the,the
equal,equal,equal
employ,employ,employ
findings,findings,findings
of,of,of
job,job,job
discrimination,discrimination,discrimination
prompt,prompt,prompt
approval,approval,approval
by,by,by
both,both,both
houses,houses,houses
and,and,and
the,the,the
senate,senate,senate
verslon,version,verslon
of,of,of
the,the,the
measure,measure,measure
generally,generally,generally
prevalled,prevailed,prevalled
broaden,broaden,broaden
mag,ing,mg
eecs,eecs,eedcs
purview,purview,purvlew
to,to,to
government,government,government
and,and,and
educatlonal,educational,educatlonal
employees,employees,employees
as,as,as
well,well,well
a,a,a
consumer,consumer,consumer
protection,protection,protection
agency,agency,agency
bill,bill,bill
sideration,sideration,slderatlon
n,in,n
the,the,the
senate,senate,senate
government,government,government
operatlons,operations,operatlons
subcommlttee,subcommittee,subcommlttee
on,on,on
epas,exec,exes
utive,utive,utlve
reorganization,reorganization,reorganlzatlon
the,this,th
b,bill,b
s,s,s
would,would,would
establlsh,establish,establlsh
an,an,an
ndependent,independent,ndependent
consumer,consumer,consumer
pro,pro,prof
tectlon,tection,tectlon
agency,agency,agency
authorized,authorized,authorlzed
m,to,m
intervene,intervene,ntervene
on,on,on
behalf,behalf,behalf
of,of,of
consumers,consumers,consumers
n,in,n
in,in,in
addltlon,addition,addltlon
the,the,the
new,new,new
agency,agency,agency
could,could,could
seek,seek,seek
judlclal,judicial,judlclal
review,review,revlew
of,of,of
any,any,any
de,de,de
nterests,interests,nterests
of,of,of
consumers,consumers,consumers
cma,cma,cm
t,t,t
 , , 
we,we,we
have,have,have
burdensome,burdensome,burdensome
make,make,make
known,known,known
government,government,government
alerted,alerted,alerted
mca,mca,mca
